Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,59.720001,62.419998,59.160000,60.560001,58.1949995,55.959999,58.41750075,62.5499995,Neutral,+1
2021-11-11,55.400002,58.939999,55.400002,58.820000,55.535,54.2199995,58.56750025,62.5499995,Neutral,+0
2021-11-10,55.980000,56.520000,54.880001,55.259998,53.625,54.209999,58.76749975,62.7299995,Bearish,-45
2021-11-09,55.779999,56.900002,55.650002,56.250000,53.625,54.209999,58.76749975,62.7299995,Bearish,-44
2021-11-08,56.570000,57.750000,55.570000,55.779999,53.625,54.209999,59.26750075,62.7299995,Bearish,-43
2021-11-05,55.480000,56.700001,55.169998,56.180000,53.42,54.209999,60.1925,62.7299995,Bearish,-42
2021-11-04,55.990002,55.990002,54.290001,55.040001,53.6499995,54.209999,60.1925,62.7299995,Bearish,-41
2021-11-03,55.150002,55.950001,54.529999,55.770000,54.209999,54.209999,60.1925,62.7299995,Bearish,-40
2021-11-02,54.389999,55.369999,53.970001,55.029999,54.209999,54.295,60.1925,62.7299995,Bearish,-39
2021-11-01,52.150002,54.799999,52.130001,54.180000,54.209999,54.67,59.9375,63.8100015,Bearish,-38
2021-10-29,49.919998,53.500000,49.500000,52.290001,54.209999,54.67,60.0225,63.8100015,Bearish,-37
2021-10-28,55.860001,57.340000,55.840000,57.279999,56.7399995,56.7250005,60.1724995,63.8100015,Bearish,-36
2021-10-27,56.410000,56.419998,54.919998,55.480000,56.7399995,56.7250005,60.1724995,63.8100015,Bearish,-35
2021-10-26,57.020000,57.200001,56.299999,56.320000,56.719999,56.7250005,60.2799985,63.875,Bearish,-34
2021-10-25,57.680000,57.799999,56.630001,56.830002,56.4899995,56.7250005,61.5499995,64.690001,Bearish,-33
2021-10-22,57.459999,58.919998,56.549999,57.049999,56.2649995,56.7250005,61.74999925,64.690001,Bearish,-32
2021-10-21,55.759998,56.880001,55.439999,56.799999,55.415001,56.7250005,61.74999925,64.690001,Bearish,-31
2021-10-20,54.869999,56.779999,54.560001,56.410000,55.745001,56.7250005,62.01499975,64.690001,Bearish,-30
2021-10-19,55.080002,55.779999,54.599998,55.650002,55.7700005,56.7250005,62.16499925,64.690001,Bearish,-29
2021-10-18,55.160000,55.900002,54.560001,55.400002,55.7700005,56.7250005,62.16499925,64.690001,Bearish,-28
2021-10-15,55.740002,56.290001,55.150002,55.410000,55.7700005,56.7250005,62.16499925,64.690001,Bearish,-27
2021-10-14,54.849998,57.060001,54.520000,56.549999,55.7700005,56.7250005,62.72999975,64.735001,Bearish,-26
2021-10-13,54.610001,55.660000,54.060001,54.209999,55.7700005,56.7700005,64.78999925,65.5900005,Bearish,-25
2021-10-12,56.189999,56.349998,53.610001,54.200001,55.7700005,57.6800005,64.56499875,65.5900005,Bearish,-24
2021-10-11,56.590000,57.220001,56.130001,56.169998,56.780001,58.83,64.56499875,65.5900005,Bearish,-23
2021-10-08,57.799999,57.880001,56.520000,56.590000,57.1000005,58.83,64.5099985,65.5900005,Bearish,-22
2021-10-07,56.740002,57.930000,56.740002,57.389999,57.4750005,59.360001,64.5099985,65.5900005,Bearish,-21
2021-10-06,55.840000,56.770000,55.110001,56.430000,57.4750005,59.66,64.5099985,66.244999,Bearish,-20
2021-10-05,57.209999,57.619999,56.220001,56.959999,57.6949995,59.84,64.5099985,66.915001,Bearish,-19
2021-10-04,56.919998,57.849998,56.560001,56.950001,57.6949995,59.84,64.5099985,67.375,Bearish,-18
2021-10-01,57.029999,57.320000,55.549999,57.090000,57.6550005,60.880001,64.5099985,67.375,Bearish,-17
2021-09-30,57.259998,57.500000,56.410000,56.439999,57.6550005,62.7299995,63.0549985,67.6899985,Bearish,-16
2021-09-29,58.049999,58.450001,56.599998,56.700001,57.6550005,62.7299995,63.4524995,67.6899985,Bearish,-15
2021-09-28,58.700001,59.090000,57.660000,58.320000,57.6550005,62.7299995,63.59499925,67.6899985,Bearish,-14
2021-09-27,57.799999,59.840000,57.610001,59.060001,57.6550005,62.7299995,64.33250025,68.390001,Bearish,-13
2021-09-24,57.090000,58.139999,56.619999,57.939999,57.1450005,62.7299995,65.4224985,68.9099995,Bearish,-12
2021-09-23,56.730000,57.790001,55.730000,57.490002,57.3150005,62.7299995,65.4224985,69.27,Bearish,-11
2021-09-22,56.189999,57.049999,55.740002,56.580002,57.6149995,62.7299995,65.5975,69.4450015,Bearish,-10
2021-09-21,56.849998,57.250000,55.470001,55.470001,57.6149995,62.7299995,65.5975,69.4450015,Bearish,-9
2021-09-20,56.419998,57.049999,55.599998,56.619999,57.764999,62.794998,65.5975,69.4450015,Bearish,-8
2021-09-17,57.869999,58.299999,57.430000,57.919998,59.49,63.609999,66.36499975,69.5400005,Bearish,-7
2021-09-16,58.049999,58.799999,57.779999,58.279999,59.8899995,63.609999,66.34749875,69.5400005,Bearish,-6
2021-09-15,57.259998,58.820000,57.259998,58.259998,59.8899995,63.609999,66.09249975,69.5400005,Bearish,-5
2021-09-14,58.520000,58.700001,57.330002,57.540001,60.4200005,63.609999,65.692499,69.5400005,Bearish,-4
2021-09-13,58.389999,59.160000,57.970001,58.509998,60.7199995,63.609999,65.30249975,69.5400005,Bearish,-3
2021-09-10,59.400002,59.759998,57.860001,57.970001,60.7199995,63.609999,65.17499925,69.5400005,Bearish,-2
2021-09-09,57.700001,59.459999,57.230000,58.740002,60.7199995,63.609999,65.17499925,69.5400005,Bearish,-1
2021-09-08,59.930000,59.930000,57.320000,58.080002,61.8050005,63.654999,65.17499925,69.5400005,Bearish,-0
